[Tue Jun 28 09:08:57.255090 2016] [proxy_fcgi:error] [pid 11233:tid 140496491996928] (70007)The timeout specified has expired: [client 192.168.100.200:47628] AH01075: Error dispatching request to : (reading input brigade), referer: https://xxx.xxxxxxxxxx.xx/xxx/assignment/
[Tue Jun 28 09:17:08.173710 2016] [proxy_fcgi:error] [pid 11233:tid 140496567531264] (70007)The timeout specified has expired: [client 192.168.100.200:49726] AH01075: Error dispatching request to : (reading input brigade), referer: https://xxx.xxxxxxxxxx.xx/xxx/assignment/
[Tue Jun 28 09:53:42.868240 2016] [proxy_fcgi:error] [pid 11233:tid 140496559138560] [client 192.168.100.200:49287] AH01068: Got bogus version 32, referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 09:53:42.869977 2016] [proxy_fcgi:error] [pid 11233:tid 140496559138560] (22)Invalid argument: [client 192.168.100.200:49287] AH01075: Error dispatching request to : (passing brigade to output filters), referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 09:53:58.290307 2016] [proxy_fcgi:error] [pid 11235:tid 140496567531264] [client 192.168.100.200:49291] AH01068: Got bogus version 32, referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 09:53:58.290392 2016] [proxy_fcgi:error] [pid 11235:tid 140496567531264] (22)Invalid argument: [client 192.168.100.200:49291] AH01075: Error dispatching request to : (passing brigade to output filters), referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 09:59:07.321773 2016] [proxy_fcgi:error] [pid 11233:tid 140496567531264] (70007)The timeout specified has expired: [client 192.168.100.200:33372] AH01075: Error dispatching request to : (reading input brigade), referer: https://xxx.xxxxxxxxxx.xx/xxx/assignment/
[Tue Jun 28 10:24:04.021352 2016] [proxy_fcgi:error] [pid 11235:tid 140496542353152] (70007)The timeout specified has expired: [client 192.168.100.200:41732] AH01075: Error dispatching request to : (reading input brigade), referer: https://xxx.xxxxxxxxxx.xx/xxx/assignment/
[Tue Jun 28 10:36:54.550844 2016] [proxy_fcgi:error] [pid 11233:tid 140496533960448] [client 192.168.100.200:52925] AH01071: Got error 'PHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\n', referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 10:50:48.600082 2016] [proxy_fcgi:error] [pid 11235:tid 140496408069888] [client 192.168.100.200:54992] AH01071: Got error 'PHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\nPHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\n', referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 11:09:04.198245 2016] [proxy_fcgi:error] [pid 11233:tid 140496458426112] [client 192.168.100.200:52698] AH01068: Got bogus version 47, referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 11:09:04.198479 2016] [proxy_fcgi:error] [pid 11233:tid 140496458426112] (22)Invalid argument: [client 192.168.100.200:52698] AH01075: Error dispatching request to : (passing brigade to output filters), referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 12:15:24.208981 2016] [proxy_fcgi:error] [pid 11235:tid 140496675665664] [client 192.168.100.200:64754] AH01071: Got error 'PHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\n', referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 12:16:44.621750 2016] [proxy_fcgi:error] [pid 11235:tid 140496667272960] (70007)The timeout specified has expired: [client 192.168.100.200:64811] AH01075: Error dispatching request to : (polling), referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 12:17:19.844567 2016] [proxy_fcgi:error] [pid 11235:tid 140496559138560] [client 192.168.100.200:65123] AH01071: Got error 'PHP message: PHP Warning:  max(): Array must contain at least one element in /home/xxx-xxxxxx/website/html/src/xxxxxxxx/Report.php on line 1318\n', referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
[Tue Jun 28 12:18:30.141246 2016] [proxy_fcgi:error] [pid 11235:tid 140496458426112] (70007)The timeout specified has expired: [client 192.168.100.200:65123] AH01075: Error dispatching request to : (polling), referer: https://xxx.xxxxxxxxxx.xx/xxx/xxxxxx/
